Solution for taxista viajero: Minimization (Traveling Salesman Problem)

06-03-2020	From Node	Connect To	Distance/Cost		From Node	Connect To	Distance/Cost
1	u	a3	4	6	a2	b2	5
2	a3	b3	3	7	b2	a4	3
3	b3	a1	3	8	a4	b4	3
4	a1	b1	5	9	b4	u	1
5	b1	a2	3				
							
	Total	Minimal	Traveling	Distance	or Cost	=	30
	(Result	from	Branch	and	Bound	Method)	

